rcID,lsoa11cd,distance
RC_EW_2713,E01007227,7956
RC_EW_2713,E01007228,8180
RC_EW_2713,E01007229,1769
RC_EW_2713,E01007230,2206
RC_EW_2713,E01007231,2115
RC_EW_2713,E01007232,1533
RC_EW_2713,E01007233,1261
RC_EW_2713,E01007234,1654
RC_EW_2713,E01007235,980
RC_EW_2713,E01007236,1003
RC_EW_2713,E01007237,2885
RC_EW_2713,E01007238,2507
RC_EW_2713,E01007239,5720
RC_EW_2713,E01007240,5511
RC_EW_2713,E01007241,5547
RC_EW_2713,E01007242,6094
RC_EW_2713,E01007243,6673
RC_EW_2713,E01007244,6057
RC_EW_2713,E01007245,6607
RC_EW_2713,E01007246,6624
RC_EW_2713,E01007247,10253
RC_EW_2713,E01007248,10936
RC_EW_2713,E01007249,10398
RC_EW_2713,E01007250,10034
RC_EW_2713,E01007251,10497
RC_EW_2713,E01007252,9527
RC_EW_2713,E01007253,10430
RC_EW_2713,E01007254,11036
RC_EW_2713,E01007255,11966
RC_EW_2713,E01007256,12028
RC_EW_2713,E01007257,10078
RC_EW_2713,E01007258,11174
RC_EW_2713,E01007259,10146
RC_EW_2713,E01007260,12392
RC_EW_2713,E01007261,11656
